Reaction,Substrate,Substrate_MolWt,Substrate_MolLogP,Substrate_TPSA,Catalyst,Base,Solvent,Solvent_MolWt,Solvent_MolLogP,Solvent_TPSA,Yield
589,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,cphos-pd-g4,NaOtBu,DMSO,78.136,-0.0053,17.07,0.0
590,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,cphos-pd-g4,NaOtBu,"1,4-Dioxane",88.106,0.0332,18.46,0.9163
591,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,cphos-pd-g4,NaOtBu,t-AmOH,88.15,1.1673,20.23,3.3348
592,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,cphos-pd-g4,NaOtBu,DMA,87.122,0.0945,20.31,1.3928
593,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,cphos-pd-g4,NaOtBu,Toluene,92.141,1.995,0.0,2.4152
594,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,cphos-pd-g4,NaOtBu,2-Me-THF,86.134,1.1853,9.23,0.0
595,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,cphos-pd-g4,Cs2CO3,DMSO,78.136,-0.0053,17.07,0.0
596,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,cphos-pd-g4,Cs2CO3,"1,4-Dioxane",88.106,0.0332,18.46,1.0432
597,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,cphos-pd-g4,Cs2CO3,t-AmOH,88.15,1.1673,20.23,3.4618
598,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,cphos-pd-g4,Cs2CO3,DMA,87.122,0.0945,20.31,1.5197
599,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,cphos-pd-g4,Cs2CO3,Toluene,92.141,1.995,0.0,2.5422
600,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,cphos-pd-g4,Cs2CO3,2-Me-THF,86.134,1.1853,9.23,0.0597
601,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,cphos-pd-g4,BTMG,DMSO,78.136,-0.0053,17.07,0.0
602,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,cphos-pd-g4,BTMG,"1,4-Dioxane",88.106,0.0332,18.46,0.0
603,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,cphos-pd-g4,BTMG,t-AmOH,88.15,1.1673,20.23,0.0
604,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,cphos-pd-g4,BTMG,DMA,87.122,0.0945,20.31,0.0
605,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,cphos-pd-g4,BTMG,Toluene,92.141,1.995,0.0,0.0
606,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,cphos-pd-g4,BTMG,2-Me-THF,86.134,1.1853,9.23,0.0
607,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,cphos-pd-g4,K3PO4,DMSO,78.136,-0.0053,17.07,0.0
608,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,cphos-pd-g4,K3PO4,"1,4-Dioxane",88.106,0.0332,18.46,0.0
609,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,cphos-pd-g4,K3PO4,t-AmOH,88.15,1.1673,20.23,0.0
610,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,cphos-pd-g4,K3PO4,DMA,87.122,0.0945,20.31,0.0
611,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,cphos-pd-g4,K3PO4,Toluene,92.141,1.995,0.0,0.0
612,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,cphos-pd-g4,K3PO4,2-Me-THF,86.134,1.1853,9.23,0.0
613,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,ruphos-pd-g4,P2Et,DMSO,78.136,-0.0053,17.07,0.0
614,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,ruphos-pd-g4,P2Et,"1,4-Dioxane",88.106,0.0332,18.46,0.0
615,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,ruphos-pd-g4,P2Et,t-AmOH,88.15,1.1673,20.23,0.0
616,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,ruphos-pd-g4,P2Et,DMA,87.122,0.0945,20.31,0.0
617,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,ruphos-pd-g4,P2Et,Toluene,92.141,1.995,0.0,9.1541
618,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,ruphos-pd-g4,P2Et,2-Me-THF,86.134,1.1853,9.23,6.6716
619,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,ruphos-pd-g4,LiOTMS,DMSO,78.136,-0.0053,17.07,0.154
620,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,ruphos-pd-g4,LiOTMS,"1,4-Dioxane",88.106,0.0332,18.46,2.6773
621,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,ruphos-pd-g4,LiOTMS,t-AmOH,88.15,1.1673,20.23,5.0959
622,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,ruphos-pd-g4,LiOTMS,DMA,87.122,0.0945,20.31,3.1538
623,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,ruphos-pd-g4,LiOTMS,Toluene,92.141,1.995,0.0,4.1763
624,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,ruphos-pd-g4,LiOTMS,2-Me-THF,86.134,1.1853,9.23,1.6938
625,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,ruphos-pd-g4,NaOtBu,DMSO,78.136,-0.0053,17.07,0.0
626,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,ruphos-pd-g4,NaOtBu,"1,4-Dioxane",88.106,0.0332,18.46,0.0
627,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,ruphos-pd-g4,NaOtBu,t-AmOH,88.15,1.1673,20.23,0.0
628,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,ruphos-pd-g4,NaOtBu,DMA,87.122,0.0945,20.31,0.0
629,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,ruphos-pd-g4,NaOtBu,Toluene,92.141,1.995,0.0,9.7638
630,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,ruphos-pd-g4,NaOtBu,2-Me-THF,86.134,1.1853,9.23,7.2814
631,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,ruphos-pd-g4,Cs2CO3,DMSO,78.136,-0.0053,17.07,0.0
632,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,ruphos-pd-g4,Cs2CO3,"1,4-Dioxane",88.106,0.0332,18.46,0.0
633,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,ruphos-pd-g4,Cs2CO3,t-AmOH,88.15,1.1673,20.23,0.0
634,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,ruphos-pd-g4,Cs2CO3,DMA,87.122,0.0945,20.31,0.0
635,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,ruphos-pd-g4,Cs2CO3,Toluene,92.141,1.995,0.0,9.8908
636,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,ruphos-pd-g4,Cs2CO3,2-Me-THF,86.134,1.1853,9.23,7.4083
637,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,ruphos-pd-g4,BTMG,DMSO,78.136,-0.0053,17.07,0.0
638,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,ruphos-pd-g4,BTMG,"1,4-Dioxane",88.106,0.0332,18.46,0.0
639,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,ruphos-pd-g4,BTMG,t-AmOH,88.15,1.1673,20.23,0.0
640,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,ruphos-pd-g4,BTMG,DMA,87.122,0.0945,20.31,0.0
641,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,ruphos-pd-g4,BTMG,Toluene,92.141,1.995,0.0,5.4089
642,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,ruphos-pd-g4,BTMG,2-Me-THF,86.134,1.1853,9.23,2.9265
643,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,ruphos-pd-g4,K3PO4,DMSO,78.136,-0.0053,17.07,1.6535
644,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,ruphos-pd-g4,K3PO4,"1,4-Dioxane",88.106,0.0332,18.46,4.1769
645,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,ruphos-pd-g4,K3PO4,t-AmOH,88.15,1.1673,20.23,6.5954
646,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,ruphos-pd-g4,K3PO4,DMA,87.122,0.0945,20.31,4.6534
647,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,ruphos-pd-g4,K3PO4,Toluene,92.141,1.995,0.0,5.6758
648,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,ruphos-pd-g4,K3PO4,2-Me-THF,86.134,1.1853,9.23,3.1934
649,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,p(tbu)3-pd-g4,P2Et,DMSO,78.136,-0.0053,17.07,0.0
650,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,p(tbu)3-pd-g4,P2Et,"1,4-Dioxane",88.106,0.0332,18.46,0.0
651,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,p(tbu)3-pd-g4,P2Et,t-AmOH,88.15,1.1673,20.23,0.0
652,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,p(tbu)3-pd-g4,P2Et,DMA,87.122,0.0945,20.31,0.0
653,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,p(tbu)3-pd-g4,P2Et,Toluene,92.141,1.995,0.0,10.6523
654,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,p(tbu)3-pd-g4,P2Et,2-Me-THF,86.134,1.1853,9.23,8.1699
655,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,p(tbu)3-pd-g4,LiOTMS,DMSO,78.136,-0.0053,17.07,1.6522
656,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,p(tbu)3-pd-g4,LiOTMS,"1,4-Dioxane",88.106,0.0332,18.46,4.1755
657,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,p(tbu)3-pd-g4,LiOTMS,t-AmOH,88.15,1.1673,20.23,6.5941
658,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,p(tbu)3-pd-g4,LiOTMS,DMA,87.122,0.0945,20.31,4.652
659,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,p(tbu)3-pd-g4,LiOTMS,Toluene,92.141,1.995,0.0,5.6745
660,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,p(tbu)3-pd-g4,LiOTMS,2-Me-THF,86.134,1.1853,9.23,3.192
661,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,p(tbu)3-pd-g4,NaOtBu,DMSO,78.136,-0.0053,17.07,0.0
662,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,p(tbu)3-pd-g4,NaOtBu,"1,4-Dioxane",88.106,0.0332,18.46,0.0
663,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,p(tbu)3-pd-g4,NaOtBu,t-AmOH,88.15,1.1673,20.23,0.0
664,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,p(tbu)3-pd-g4,NaOtBu,DMA,87.122,0.0945,20.31,0.0
665,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,p(tbu)3-pd-g4,NaOtBu,Toluene,92.141,1.995,0.0,11.262
666,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,p(tbu)3-pd-g4,NaOtBu,2-Me-THF,86.134,1.1853,9.23,8.7796
667,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,p(tbu)3-pd-g4,Cs2CO3,DMSO,78.136,-0.0053,17.07,0.0
668,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,p(tbu)3-pd-g4,Cs2CO3,"1,4-Dioxane",88.106,0.0332,18.46,0.0
669,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,p(tbu)3-pd-g4,Cs2CO3,t-AmOH,88.15,1.1673,20.23,0.0
670,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,p(tbu)3-pd-g4,Cs2CO3,DMA,87.122,0.0945,20.31,0.0
671,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,p(tbu)3-pd-g4,Cs2CO3,Toluene,92.141,1.995,0.0,11.389
672,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,p(tbu)3-pd-g4,Cs2CO3,2-Me-THF,86.134,1.1853,9.23,8.9065
673,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,p(tbu)3-pd-g4,BTMG,DMSO,78.136,-0.0053,17.07,0.0
674,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,p(tbu)3-pd-g4,BTMG,"1,4-Dioxane",88.106,0.0332,18.46,0.0
675,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,p(tbu)3-pd-g4,BTMG,t-AmOH,88.15,1.1673,20.23,0.0
676,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,p(tbu)3-pd-g4,BTMG,DMA,87.122,0.0945,20.31,0.0
677,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,p(tbu)3-pd-g4,BTMG,Toluene,92.141,1.995,0.0,6.9071
678,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,p(tbu)3-pd-g4,BTMG,2-Me-THF,86.134,1.1853,9.23,4.4247
679,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,p(tbu)3-pd-g4,K3PO4,DMSO,78.136,-0.0053,17.07,3.1518
680,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,p(tbu)3-pd-g4,K3PO4,"1,4-Dioxane",88.106,0.0332,18.46,5.6751
681,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,p(tbu)3-pd-g4,K3PO4,t-AmOH,88.15,1.1673,20.23,8.0936
682,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,p(tbu)3-pd-g4,K3PO4,DMA,87.122,0.0945,20.31,6.1516
683,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,p(tbu)3-pd-g4,K3PO4,Toluene,92.141,1.995,0.0,7.174
684,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,p(tbu)3-pd-g4,K3PO4,2-Me-THF,86.134,1.1853,9.23,4.6916
685,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,empty,P2Et,DMSO,78.136,-0.0053,17.07,0.7633
686,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,empty,P2Et,"1,4-Dioxane",88.106,0.0332,18.46,3.2866
687,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,empty,P2Et,t-AmOH,88.15,1.1673,20.23,5.7052
688,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,empty,P2Et,DMA,87.122,0.0945,20.31,3.7631
689,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,empty,P2Et,Toluene,92.141,1.995,0.0,4.7856
690,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,empty,P2Et,2-Me-THF,86.134,1.1853,9.23,2.3031
691,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,empty,LiOTMS,DMSO,78.136,-0.0053,17.07,0.0
692,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,empty,LiOTMS,"1,4-Dioxane",88.106,0.0332,18.46,0.0
693,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,empty,LiOTMS,t-AmOH,88.15,1.1673,20.23,0.7274
694,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,empty,LiOTMS,DMA,87.122,0.0945,20.31,0.0
695,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,empty,LiOTMS,Toluene,92.141,1.995,0.0,0.0
696,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,empty,LiOTMS,2-Me-THF,86.134,1.1853,9.23,0.0
697,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,empty,NaOtBu,DMSO,78.136,-0.0053,17.07,1.373
698,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,empty,NaOtBu,"1,4-Dioxane",88.106,0.0332,18.46,3.8964
699,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,empty,NaOtBu,t-AmOH,88.15,1.1673,20.23,6.3149
700,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,empty,NaOtBu,DMA,87.122,0.0945,20.31,4.3728
701,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,empty,NaOtBu,Toluene,92.141,1.995,0.0,5.3953
702,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,empty,NaOtBu,2-Me-THF,86.134,1.1853,9.23,2.9128
703,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,empty,Cs2CO3,DMSO,78.136,-0.0053,17.07,1.5
704,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,empty,Cs2CO3,"1,4-Dioxane",88.106,0.0332,18.46,4.0233
705,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,empty,Cs2CO3,t-AmOH,88.15,1.1673,20.23,6.4419
706,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,empty,Cs2CO3,DMA,87.122,0.0945,20.31,4.4998
707,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,empty,Cs2CO3,Toluene,92.141,1.995,0.0,5.5223
708,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,empty,Cs2CO3,2-Me-THF,86.134,1.1853,9.23,3.0398
709,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,empty,BTMG,DMSO,78.136,-0.0053,17.07,0.0
710,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,empty,BTMG,"1,4-Dioxane",88.106,0.0332,18.46,0.0
711,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,empty,BTMG,t-AmOH,88.15,1.1673,20.23,1.96
712,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,empty,BTMG,DMA,87.122,0.0945,20.31,0.018
713,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,empty,BTMG,Toluene,92.141,1.995,0.0,1.0404
714,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,empty,BTMG,2-Me-THF,86.134,1.1853,9.23,0.0
715,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,empty,K3PO4,DMSO,78.136,-0.0053,17.07,0.0
716,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,empty,K3PO4,"1,4-Dioxane",88.106,0.0332,18.46,0.0
717,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,empty,K3PO4,t-AmOH,88.15,1.1673,20.23,2.2269
718,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,empty,K3PO4,DMA,87.122,0.0945,20.31,0.2849
719,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,empty,K3PO4,Toluene,92.141,1.995,0.0,1.3073
720,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,empty,K3PO4,2-Me-THF,86.134,1.1853,9.23,0.0
721,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,xphos-pd-g4,P2Et,DMSO,78.136,-0.0053,17.07,0.0
722,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,xphos-pd-g4,P2Et,"1,4-Dioxane",88.106,0.0332,18.46,0.0
723,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,xphos-pd-g4,P2Et,t-AmOH,88.15,1.1673,20.23,0.0
724,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,xphos-pd-g4,P2Et,DMA,87.122,0.0945,20.31,0.0
725,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,xphos-pd-g4,P2Et,Toluene,92.141,1.995,0.0,9.6684
726,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,xphos-pd-g4,P2Et,2-Me-THF,86.134,1.1853,9.23,7.186
727,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,xphos-pd-g4,LiOTMS,DMSO,78.136,-0.0053,17.07,0.6683
728,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,xphos-pd-g4,LiOTMS,"1,4-Dioxane",88.106,0.0332,18.46,3.1916
729,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,xphos-pd-g4,LiOTMS,t-AmOH,88.15,1.1673,20.23,5.6102
730,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,xphos-pd-g4,LiOTMS,DMA,87.122,0.0945,20.31,3.6681
731,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,xphos-pd-g4,LiOTMS,Toluene,92.141,1.995,0.0,4.6906
732,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,xphos-pd-g4,LiOTMS,2-Me-THF,86.134,1.1853,9.23,2.2081
733,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,xphos-pd-g4,NaOtBu,DMSO,78.136,-0.0053,17.07,0.0
734,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,xphos-pd-g4,NaOtBu,"1,4-Dioxane",88.106,0.0332,18.46,0.0
735,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,xphos-pd-g4,NaOtBu,t-AmOH,88.15,1.1673,20.23,0.0
